gap_id,gap_type,description,severity,estimated_impact,recommended_fix,queue_4_relevance,notes
G-001,STATE_COVERAGE_GAP,Four U.S. states have ZERO rows in the high-yield review master,HIGH,Visible coverage hole — any user from AK ID MT WY sees no listings,Add representative academic / public hospital systems for AK / ID / MT / WY in Queue 4,HIGH_DIRECT_QUEUE_4_TARGET,AK: Providence Alaska Medical Center / Alaska Native Medical Center; ID: Saint Alphonsus / U Idaho WAMI; MT: Billings Clinic / Saint Vincent; WY: Wyoming Medical Center / Cheyenne Regional
G-002,STATE_COVERAGE_GAP,14+ states have only 1-2 rows in the high-yield set,MEDIUM,Thin coverage — many users see 0-1 listing per state,Add 2-4 well-chosen institutions per thin-coverage state in Queue 4,HIGH_DIRECT_QUEUE_4_TARGET,Thin states: ME DC NH VT ND SD NM NE OR UT CO IA AL AR
G-003,RUNTIME_PROMOTION_GAP,Massive backlog: 347 sourceProofScore=5 rows but only 5 active runtime cards (~70x ratio),CRITICAL,The biggest single gap in the funnel; 347 → 25 → 7 → 5 → 0,Promote rows from the 25-row READY_FOR_HUMAN_APPROVAL set into the staged-batch-3 runtime; do this BEFORE more screening,RIVAL_TO_QUEUE_4_FOR_NEXT_SPRINT_PRIORITY,**This is the single highest-leverage action in the whole project.** Yale New Haven / Mayo Saint Marys / Cleveland Clinic Main / NYP Columbia + Cornell / Johns Hopkins / Mount Sinai / Duke / Northwestern / Penn / NYU Langone Tisch / Mayo Phoenix + Jacksonville / Westchester / Methodist TX / Newark Beth Israel / Saint Barnabas / BronxCare / Englewood / Carilion / Grady Memorial / Indiana University Health Methodist / ChristianaCare are sitting waiting.
G-004,IMG_AUDIENCE_GAP,Active 5 cards include 3 US-only (Morristown / Overlook / Highland) + 2 IMG-relevant (CCF Mercy + Hillcrest); staged adds 1 IMG-relevant (UPMC) + 1 US-only (Lincoln) → 3 IMG / 4 US,MEDIUM,IMG-friendly card density on the public preview is low,Queue 4 should bias toward known IMG-friendly large city safety-nets and academic systems with documented international visiting student programs,HIGH,Queue 4 candidates with IMG-eligibility signal should be flagged early
G-005,CARIBBEAN_AUDIENCE_GAP,Caribbean named-partner pathways exist for SGU (Atlantic Health = Morristown + Overlook) but no other Caribbean school's affiliate list is in repo,MEDIUM,Ross / AUC / Saba / MUA / Avalon students see no pathway; only SGU is implicitly visible,Per-school Caribbean affiliate harvesting in a future sprint; document as a gap now,MEDIUM_INDIRECT_QUEUE_4_RELEVANCE,Out of scope for Queue 4 itself; flagged for a future denominator sprint
G-006,VSLO_GAP,Q3a includes 126 VSLO-remaining institutions; subset already in high-yield master,LOW_TO_MEDIUM,VSLO-participation is partly captured but not exhaustive,Queue 4 should not duplicate VSLO-only institutions already in Q3a,RELEVANT_AS_EXCLUSION_CRITERION,Avoid double-screening
G-007,OBSERVERSHIP_GAP,Many institutions document "observership" rather than "elective" — these are different categories,MEDIUM,Audience confusion if observerships and electives are mixed in card copy,Continue surfacing this distinction at the curator-review stage; do not muddy Queue 4 by merging the two,LOW,Already enforced via opportunity_type field in the runtime schema
G-008,SUBI_GAP,Sub-internships specifically (vs general visiting electives) are a sub-class that is uneven,LOW,Spec-specific sub-I info often hides under "advanced clinical experience",Note in Queue 4 candidate rows that sub-I-specific institutions are an acceptable subset,LOW,
G-009,DATA_SOURCE_GAP,T7 lane carries the canonical 347-row workbench but Mac-local does NOT have those CSVs,MEDIUM,Future code on Mac-local can reference T7 but builds a fragile cross-lane dependency,Either transplant the canonical workbench to Mac-local OR formalize T7 as canonical for these source lists,LOW_FOR_QUEUE_4_HIGH_FOR_PROMOTION,Cosmetic for screening but blocking for any Mac-local-only validator that needs to read the workbench
G-010,RUNTIME_PROMOTION_GAP,Staged 7-card runtime has been built but is NOT imported by any app code; activation gated by separate authorized sprint,MEDIUM_HIGH,Even if Queue 4 produces 100 new candidates the funnel still narrows to ~7 cards,Authorize a runtime activation sprint to flip staged → active on a separate branch / preview only; keep production untouched,LOW_FOR_QUEUE_4_HIGH_FOR_PROMOTION,User has consistently held this back; respect that
G-011,CORRECTION_WORKFLOW_GAP,Correction intake endpoint exists (/api/usce/corrections) but is env-flag disabled by default; /contact UI does not parse listing_id/ref,MEDIUM,Reports filed via the live contact form would lose listing context,B-001/B-002/B-003 deferred; queue this as the LAST gate before any production exposure,LOW_FOR_QUEUE_4_BLOCKING_FOR_PRODUCTION,The intake-and-validator stack is built; UI wiring is the only missing piece
G-012,UI_ACTIVATION_GAP,No public route currently displays the staged 7-card runtime,LOW,Behaves as designed (staged means staged),Activation is a separate later sprint,NO_QUEUE_4_RELEVANCE,Sequencing intent
G-013,SPECIALTY_COVERAGE_GAP,Active 5 cards are multispecialty; specialty-specific subi/elective coverage is uneven across queues,LOW,Specialty-search UX would surface this; not a blocker today,Not a Queue 4 priority,LOW,
G-014,PUBLIC_HOSPITAL_GAP,Many large city public hospital systems (NYC H+H Bellevue / LAC+USC / Cook County / Parkland Dallas / Harborview Seattle / Boston Medical Center / SF General-ZSFG / Grady Memorial / Jackson Memorial) likely under-represented relative to AMCs,MEDIUM,Public hospitals are often IMG-relevant; gap reduces audience match,Queue 4 should explicitly include public-safety-net systems for major metros,HIGH,Direct Queue 4 candidate type
G-015,ACADEMIC_MEDICAL_CENTER_GAP,Some major AMCs not in Q1-Q3: e.g. Stanford / UCSF / UCSD / UCLA / Vanderbilt / WashU / Emory / UMich / Pitt-UPMC system index page,MEDIUM,Top AMCs missing makes the platform look incomplete to professional reviewers,Queue 4 should include high-priority AMC gaps,HIGH,Direct Queue 4 candidate type
