listing_id,institution_name,city,state,runtime_group,status,evidence_status,public_copy_risk,source_file,notes
pilot-001-NJ-morristown-medical-center,Morristown Medical Center,Morristown,NJ,ACTIVE_5_UNCHANGED,STAGED_DATA_ONLY,ACTIVE_RUNTIME,LOW,public-listings-pilot-staged-batch-3.generated.json,Active card preserved verbatim
pilot-002-NJ-overlook-medical-center,Overlook Medical Center,Summit,NJ,ACTIVE_5_UNCHANGED,STAGED_DATA_ONLY,ACTIVE_RUNTIME,LOW,public-listings-pilot-staged-batch-3.generated.json,Active card preserved verbatim
pilot-003-OH-cleveland-clinic-mercy-hospital,Cleveland Clinic Mercy Hospital,Canton,OH,ACTIVE_5_UNCHANGED,STAGED_DATA_ONLY,ACTIVE_RUNTIME,LOW,public-listings-pilot-staged-batch-3.generated.json,Active card preserved verbatim
pilot-004-OH-cleveland-clinic-hillcrest-hospital,Cleveland Clinic Hillcrest Hospital,Mayfield Heights,OH,ACTIVE_5_UNCHANGED,STAGED_DATA_ONLY,ACTIVE_RUNTIME,LOW,public-listings-pilot-staged-batch-3.generated.json,Active card preserved verbatim
pilot-007-CA-highland-hospital-alameda-health-system,Highland Hospital (Alameda Health System),Oakland,CA,ACTIVE_5_UNCHANGED,STAGED_DATA_ONLY,ACTIVE_RUNTIME,LOW,public-listings-pilot-staged-batch-3.generated.json,Active card preserved verbatim
pilot-011-PA-upmc-western-psychiatric-hospital,UPMC Western Psychiatric Hospital,Pittsburgh,PA,PRIOR_STAGED_2_UNCHANGED,STAGED_DATA_ONLY,STAGED_BATCH_2,LOW,public-listings-pilot-staged-batch-3.generated.json,Prior staged card preserved verbatim from batch 2
pilot-012-NY-nyc-health-hospitals-lincoln,NYC Health + Hospitals/Lincoln,Bronx,NY,PRIOR_STAGED_2_UNCHANGED,STAGED_DATA_ONLY,STAGED_BATCH_2,LOW,public-listings-pilot-staged-batch-3.generated.json,Prior staged card preserved verbatim from batch 2
pilot-013-FL-jackson-memorial-hospital,Jackson Memorial Hospital,Miami,FL,BATCH_3_NEW_STAGED_7,STAGED_DATA_ONLY,EVIDENCE_TRIPLE_COMPLETE,LOW,public-listings-pilot-staged-batch-3.generated.json,System-level UM Miller SOM source
pilot-014-NC-duke-university-hospital,Duke University Hospital,Durham,NC,BATCH_3_NEW_STAGED_7,STAGED_DATA_ONLY,EVIDENCE_TRIPLE_COMPLETE,LOW,public-listings-pilot-staged-batch-3.generated.json,Duke SOM visiting-students office source
pilot-015-IL-northwestern-memorial-hospital,Northwestern Memorial Hospital,Chicago,IL,BATCH_3_NEW_STAGED_7,STAGED_DATA_ONLY,EVIDENCE_TRIPLE_COMPLETE,LOW,public-listings-pilot-staged-batch-3.generated.json,System-level Feinberg SOM source
pilot-016-PA-hospital-of-the-university-of-pennsylvania,Hospital of the University of Pennsylvania,Philadelphia,PA,BATCH_3_NEW_STAGED_7,STAGED_DATA_ONLY,EVIDENCE_TRIPLE_COMPLETE,LOW,public-listings-pilot-staged-batch-3.generated.json,System-level Perelman SOM source
pilot-017-NY-nyu-langone-tisch-hospital,NYU Langone Health - Tisch Hospital,New York,NY,BATCH_3_NEW_STAGED_7,STAGED_DATA_ONLY,EVIDENCE_TRIPLE_COMPLETE,LOW,public-listings-pilot-staged-batch-3.generated.json,Site-level Tisch under NYU Langone Health
pilot-018-TX-methodist-hospital-san-antonio,Methodist Hospital (San Antonio),San Antonio,TX,BATCH_3_NEW_STAGED_7,STAGED_DATA_ONLY,EVIDENCE_TRIPLE_COMPLETE,LOW,public-listings-pilot-staged-batch-3.generated.json,System-level HCA GME source
pilot-019-IN-iu-health-methodist-hospital,Indiana University Health Methodist Hospital,Indianapolis,IN,BATCH_3_NEW_STAGED_7,STAGED_DATA_ONLY,EVIDENCE_TRIPLE_COMPLETE,LOW,public-listings-pilot-staged-batch-3.generated.json,Site-level IU Health Methodist under IU SOM
